exp,perplexity,score,num_distinct_1grams,num_distinct_2grams,entropy_2grams,entropy_4grams,min_edit_distance,mean_edit_distance,max_edit_distance
beam_search_bs10_kpercand3,4.025407704133876,-1.3926261986932578,0.37174016080129546,0.4584692088842487,3.172229507763362,3.026799922932489,1.0,4.970222222222222,7.64
clustering_beam_search_bs10_cbs5,4.233960990793002,-1.4431379593478408,0.3879440792581849,0.4648158370802127,3.236075524941,3.0614931777565033,1.03,5.3746666666666645,8.05
diverse_beam_search_bs10_dbs0.8,4.558770065388754,-1.5170528646421721,0.3313668698044936,0.3720738236272755,3.084231045405013,3.0006316189944418,1.03,5.722222222222221,10.01
iterative_beam_search_bs5_ibs10,5.420132668322456,-1.6901202927022532,0.6180871480364408,0.7375561808656199,3.681856543731398,3.2461864338821815,2.52,5.493777777777777,7.85
random_sampling_temp0.5,52.45826502948394,-3.960017901636471,0.5384672458330856,0.704020833545725,3.8428178485285747,3.7004629916490575,2.62,7.409777777777777,11.65
random_sampling_temp0.7,35.97870822617795,-3.5829273253258447,0.6323339259943898,0.7971452796824413,4.081914453736354,3.8400798856431324,3.84,8.590444444444445,13.5
random_sampling_temp1.0,67.99153168086288,-4.219383163316134,0.7384144861782808,0.8698581370648213,4.348322928648604,4.077363999914574,5.17,10.814222222222222,16.89
random_sampling_temp1.0_top10,10.332857685831382,-2.3353288843541904,0.6041396113312287,0.7979326461903259,4.12429864130119,3.9066420043066294,3.88,9.10288888888889,14.71
standard_beam_search_bs10,4.009985371162307,-1.3887875932226232,0.37343743982350275,0.45458034523989627,3.1562901385275848,3.007402548327868,1.0,4.948888888888889,7.66
standard_beam_search_bs10_npad0.3,4.053460182266991,-1.3995708823474193,0.35615267447007626,0.43985219389686103,3.1259328107485347,2.9902575132937246,1.0,4.862888888888889,7.6
